Kepler-10   HN-2 6434.523902        -7.41     1.32     6889.87     4.19    55.95     0.04      -3.06     1.73     0.174     0.004    -4.940     0.017
Kepler-10   HN-2 6434.691044        -3.43     0.96     6891.24     9.77    56.52     0.10       5.74     1.82     0.172     0.002    -4.951     0.010
Kepler-10   HN-2 6436.540285        -3.05     0.96     6899.62    12.46    55.92     0.12      -2.88     1.10     0.172     0.002    -4.952     0.009
Kepler-10   HN-2 6436.698903        -2.56     0.91     6902.15    13.37    55.98     0.13      -5.33     1.29     0.174     0.002    -4.940     0.008
Kepler-10   HN-2 6437.537942        -4.77     0.99     6905.09    10.63    55.86     0.10       5.77     1.34     0.178     0.002    -4.921     0.009
Kepler-10   HN-2 6437.700422        -3.93     0.88     6904.65    15.85    55.98     0.15       8.38     1.07     0.175     0.002    -4.937     0.007
Kepler-10   HN-2 6462.443133        -0.88     1.24     6908.72     4.72    55.79     0.05      12.64     1.76     0.178     0.003    -4.921     0.014
Kepler-10   HN-2 6462.596323         0.15     1.22     6908.62     3.28    56.07     0.03       3.31     1.45     0.173     0.003    -4.947     0.014
Kepler-10   HN-2 6463.500120         2.38     1.25     6906.66     4.21    56.11     0.04      -4.15     1.64     0.184     0.003    -4.892     0.013
Kepler-10   HN-2 6463.673404        -0.02     1.08     6915.18     7.84    56.47     0.08       2.52     1.27     0.179     0.002    -4.917     0.011
Kepler-10   HN-2 6464.676996        -2.28     1.53     6908.82     6.88    55.97     0.07      17.44     1.76     0.187     0.004    -4.880     0.018
Kepler-10   HN-2 6465.524804        -0.97     1.33     6912.19     5.26    55.90     0.05       5.28     1.63     0.179     0.003    -4.915     0.016
Kepler-10   HN-2 6466.478221         1.90     1.14     6906.00     7.14    56.14     0.07      -3.67     1.44     0.179     0.003    -4.915     0.013
Kepler-10   HN-2 6466.694783         4.70     1.17     6908.95     6.68    55.98     0.06     -16.50     1.46     0.186     0.003    -4.887     0.012
Kepler-10   HN-2 6478.423153         0.62     1.37     6895.82     5.89    55.86     0.06      -5.77     1.64     0.181     0.004    -4.906     0.016
Kepler-10   HN-2 6478.608006         1.56     1.11     6899.53    10.05    55.92     0.10      -2.99     1.45     0.179     0.003    -4.916     0.012
Kepler-10   HN-2 6479.469077         2.42     0.94     6908.70    16.46    56.04     0.16      -3.63     1.04     0.177     0.002    -4.925     0.009
Kepler-10   HN-2 6479.607049        -3.14     0.96     6905.84    14.47    55.73     0.14      -6.06     1.03     0.177     0.002    -4.928     0.009
Kepler-10   HN-2 6480.551707        -2.04     0.88     6898.39    17.17    56.28     0.17      -0.82     1.09     0.175     0.002    -4.938     0.008
Kepler-10   HN-2 6480.703360        -3.18     1.04     6912.59    12.13    55.57     0.12       1.43     1.17     0.173     0.002    -4.945     0.010
Kepler-10   HN-2 6481.444186        -1.81     1.15     6910.75     8.74    56.15     0.09      15.23     1.51     0.177     0.003    -4.926     0.013
